"","Team","Opponent","Team_Outcome","Winner","OFF_Pas_Comp","OFF_pass_ATT","OFF_pass_CMP_prc","OFF_Pas_AVG","OFF_pass_YDS_pr_G","OFF_pass_TD","OFF_pass_INT","OFF_pass_SACK","OFF_pass_RTG","OFF_rush_ATT","OFF_rush_AVG","OFF_rush_YDS_pr_G","OFF_rush_TD","OFF_rush_FUM","OFF_Turnovers","DEF_Pas_Comp","DEF_pass_ATT","DEF_pass_CMP_prc","DEF_Pas_AVG","DEF_pass_YDS_pr_G","DEF_pass_TD","DEF_pass_INT","DEF_pass_SACK","DEF_pass_RTG","DEF_rush_ATT","DEF_rush_AVG","DEF_rush_YDS_pr_G","DEF_rush_TD","DEF_rush_FUM","DEF_Turnovers"
"166","New York Giants","Cincinnati","Win","Away",0.830737704918033,0.878649879453523,0.944954128440367,0.940298507462687,0.827966475518306,0.52755905511811,1.11666666666667,1,0.878651685393258,0.946421737466514,1.12820512820513,1.07988165680473,0.919540229885058,0.393939393939394,0.459459459459459,1.09119927040584,1.00948275862069,1.08095238095238,1.01369863013699,0.965088282504013,0.761658031088083,1,2.00884955752212,1,0.99009900990099,0.854166666666667,0.852559205500382,1.19178082191781,1.53846153846154,1.41176470588235
"167","Tennessee","Indianapolis","Win","Away",0.839459231094212,0.870544625035643,0.964444444444444,1.03947368421053,0.886617817200154,1.3921568627451,0.701492537313433,1.09285714285714,1.09607438016529,1.13757554212584,1.21951219512195,1.39338555265448,1.225,1,0.909090909090909,1.14866637516397,1.13441015286992,1.01212121212121,0.959459459459459,1.12123711340206,1.49659863945578,0.93,0.440528634361233,1.0677025527192,1.09891435464415,1.21621621621622,1.31862217438105,1.05607476635514,1.35,1.22222222222222
"168","Carolina","Minnesota","Loss","Home",1.10607476635514,1.07784431137725,1.02670623145401,0.925925925925926,1.0045510964005,0.502347417840376,0.839080459770115,0.916666666666667,0.897187196896217,0.885684860968074,0.857142857142857,0.755385684503127,1,0.65,0.692307692307692,1.1127385707945,1.08441176470588,1.02564102564103,0.884615384615385,0.94316854807318,0.927777777777778,0.505376344086022,1.22448979591837,1.01354166666667,0.84,1.04444444444444,0.880563798219585,0.946902654867257,1.53846153846154,1.21052631578947
"169","Arizona","New England","Loss","Home",1.40977011494253,1.33956729006234,1.05329153605016,1.01428571428571,1.41402714932127,3.26415094339623,0.860215053763441,0.73568281938326,1.23207301173403,0.974627339042182,1.02173913043478,1.00412938747419,1.10526315789474,1,0.923076923076923,1.10643444605709,1.15650472774698,0.956973293768546,0.933333333333333,1.0248643761302,1.23571428571429,0.626168224299065,2.19285714285714,1.0343300110742,0.924837717799795,1.04444444444444,0.952560240963855,0.813084112149533,1,0.785714285714286
"170","Miami","New York Jets","Win","Away",1.24205242610151,1.07516129032258,1.15570934256055,1.16393442622951,1.3108504398827,1.53,0.8375,0.823970037453184,1.24406332453826,1.07086614173228,0.975609756097561,1.02958015267176,1.64150943396226,3.85714285714286,2.58333333333333,0.805681818181818,0.883198327671805,0.911594202898551,1.03947368421053,0.874145990650845,0.565,1.59701492537313,1.42780748663102,0.842885375494071,0.930400288496213,1.17948717948718,1.09686346863469,0.934579439252336,0.259259259259259,0.451612903225806
"171","Cleveland","Jacksonville","Win","Away",0.825508932280848,0.825712045989025,1,1.15625,0.972330306960657,1.13071895424837,0.495327102803738,0.58102766798419,1.16125150421179,1.45007032348805,1.02173913043478,1.489252814739,2.11666666666667,2.85714285714286,1.71428571428571,0.977475563110922,1.06937444411503,0.91404011461318,0.878048780487805,0.898192548874954,0.877272727272727,0.917808219178082,2.05833333333333,0.891690009337068,0.8165625,0.955555555555555,0.774260151410874,0.764285714285714,2.07692307692308,1.72222222222222
"172","New Orleans","Denver","Win","Away",1.19157678479712,0.951645790853481,1.25220458553792,1.16923076923077,1.14052757793765,1.31496062992126,0.34640522875817,0.9,1.47571428571429,1.13172338090011,1.02272727272727,1.17460317460317,2.4125,1.53846153846154,1.04347826086957,0.900128589798543,0.98298837538985,0.915407854984894,0.957142857142857,0.935624184428012,1.47244094488189,1.64150943396226,1.07692307692308,0.954446854663774,0.90036496350365,0.8125,0.723404255319149,0.503759398496241,1.85714285714286,1.72727272727273
"173","San Francisco","Los Angeles Rams","Win","Away",0.935143899473044,0.965489130434783,0.968656716417911,1.05555555555556,1,1.20300751879699,1.29885057471264,1.56862745098039,0.994444444444444,0.932272265492719,1.02325581395349,0.944968553459119,0.94488188976378,1.53846153846154,1.47368421052632,0.978509373571102,0.961704578174489,1.01746031746032,1.08064516129032,1.09828393135725,1.42990654205607,0.919540229885058,0.571865443425077,1.10611735330836,1.08917713822456,1.02631578947368,1.1211477151966,0.9125,0.818181818181818,0.82051282051282
"174","Kansas City","Tampa Bay","Win","Away",1.033984375,1.02230769230769,1.01219512195122,1.06666666666667,1.09493446687921,1,0.643835616438356,1.09285714285714,1.05206286836935,1.11240812797233,1.09756097560976,1.22631578947368,0.8,1,0.833333333333333,0.823573857196827,0.918062827225131,0.897546897546898,0.985915492957746,0.948738812042311,0.961111111111111,1.07,0.616613418530351,0.922340425531915,1.1988251242657,1.31428571428571,1.56516129032258,1.33333333333333,0.538461538461539,0.7
"175","Chicago","Green Bay","Loss","Home",1.04547386315342,1.13922916044219,0.917496443812233,0.790123456790124,0.880573865839473,0.590443686006826,3.03030303030303,1.75187969924812,0.726968174204355,0.853555005305978,0.895833333333333,0.754966887417219,0.73,0,0.777777777777778,1.05749880210829,1.0589128454297,0.998422712933754,0.986111111111111,1.05378304466727,1.04575163398693,1,0.850187265917603,0.997821350762527,1.14467213114754,0.891304347826087,1.02298850574713,0.67,1.53846153846154,1.41176470588235
